Posicao,Nome,Lançamento,Desenvolvedora/Publisher,Plataformas,Nota Média,Tempo de Jogo,Qtd Reviews,Qtd Likes,Tags,Descricao
26,Cuphead,2017,Studio MDHR,"Windows PC, Mac, Nintendo Switch, PlayStation 4, Xbox One",4.1,average: 23h | to finish: 13h | to master: 41h,9.2K,11K,"Adventure, Arcade, Indie, Platform, Shooter","Cuphead is a run-and-gun action game focused primarily on boss battles. Its visual style is modeled after 1930s cartoons, using traditional hand-drawn cel animation, watercolor backgrounds, and original jazz recordings. Players control Cuphead or Mugman in single-player or local co-op, traversing themed worlds, acquiring new weapons, and unlocking super moves. The game includes both boss encounters and side-scrolling platforming stages."
27,Grand Theft Auto: San Andreas,2004,"Rockstar North, Rockstar Games","Windows PC, Mac, PlayStation 4, PlayStation 3, Xbox 360, PlayStation 2, Xbox, Android, iOS, Windows Phone",4.3,average: 72h | to finish: 34h | to master: 88h,5.5K,10K,"Adventure, Racing, Shooter","Returning after his mother's murder to the semi-fictional city of Los Santos (based on Los Angeles), Carl Johnson, a former gang banger, must take back the streets for his family and friends by gaining respect and once again gaining control over the streets. However, a story filled with crime, lies and corruption will lead him to trudge the entire state of San Andreas (based on California and Nevada) to rebuild his life."
28,Celeste,2018,"Extremely OK Games, Maddy Makes Games","Windows PC, Mac, Linux, Nintendo Switch, PlayStation 4, Xbox One, Google Stadia",4.3,average: 25h | to finish: 12h | to master: 39h,11K,13K,"Adventure, Indie, Platform","Help Madeline survive her inner demons on her journey to the top of Celeste Mountain, in this super-tight platformer from the creators of TowerFall. Brave hundreds of hand-crafted challenges, uncover devious secrets, and piece together the mystery of the mountain."
29,Marvel's Spider-Man: Miles Morales,2020,"Insomniac Games, Sony Interactive Entertainment","Windows PC, PlayStation 5, PlayStation 4",3.7,average: 17h | to finish: 11h | to master: 20h,9.2K,8.2K,"Adventure, Brawler","Marvel's Spider-Man: Miles Morales is a third-person action-adventure game and a standalone continuation of Marvel's Spider-Man (2018). Set in an open-world version of New York City during winter, the game follows Miles Morales as he takes on the role of Spider-Man while Peter Parker is abroad. Gameplay focuses on traversal, combat, and completing missions across the city. Miles has unique abilities distinct from Peter, including bio-electric ""Venom"" attacks and temporary invisibility. The game features unlockable suits, gadgets, and a skill tree progression system."
30,Star Wars Jedi: Fallen Order,2019,"Respawn Entertainment, Electronic Arts","Windows PC, PlayStation 5, Xbox Series X|S, PlayStation 4, Xbox One, Google Stadia",3.7,average: 23h | to finish: 19h | to master: 30h,7.1K,8.2K,Adventure,"Star Wars Jedi: Fallen Order is a narratively driven, single-player game puts you in the role of a Jedi Padawan who narrowly escaped the purge of Order 66 following the events of Episode III: Revenge of the Sith. On a quest to rebuild the Jedi Order, you must pick up the pieces of your shattered past to complete your training, develop new powerful Force abilities and master the art of the iconic lightsaber - all while staying one step ahead of the Empire and its deadly Inquisitors."
31,Left 4 Dead 2,2009,"Turtle Rock Studios, Electronic Arts","Windows PC, Mac, Linux, Xbox 360",4.0,average: 39h | to finish: 17h | to master: -h,5.4K,7.6K,Shooter,"Left 4 Dead 2 is a cooperative first-person shooter video game, the sequel to Valve Corporation's Left 4 Dead. The Game builds upon cooperatively focused gameplay and Valve's proprietary Source engine, the same game engine used in the original Left 4 Dead. Set during the aftermath of an apocalyptic pandemic, Left 4 Dead 2 focuses on four new Survivors, fighting against hordes of the Infected, who develop severe psychosis and exhibit zombie-like tendencies. The Survivors must fight their way through five campaigns, interspersed with safe houses that act as checkpoints, with the goal of escape at each campaign's finale."
32,Detroit: Become Human,2018,"Quantic Dream, Sony Interactive Entertainment","Windows PC, PlayStation 4",3.9,average: 18h | to finish: 13h | to master: 36h,8.8K,12K,Adventure,"Detroit: Become Human is an interactive narrative adventure game developed by Quantic Dream and released in 2018. Set in a near-future Detroit where androids serve humans, the story follows three android protagonists—Kara, Connor, and Markus—who shape the city’s fate through their choices. Gameplay combines exploration, dialogue interactions, and quick-time events, with branching storylines and multiple endings. The narrative explores themes of artificial intelligence, freedom, and morality."
33,The Last of Us,2013,"Naughty Dog, Sony Computer Entertainment",PlayStation 3,4.4,average: 24h | to finish: 16h | to master: -h,5.5K,12K,"Adventure, Shooter","The Last of Us is a third-person action-adventure game featuring a mix of exploration, stealth and combat. Players face both infected creatures and hostile human enemies while progressing through varied environments. The game includes a narrative-driven single-player campaign and a competitive online multiplayer mode called Factions. Trophy support is included, and additional downloadable content was made available separately."
34,Resident Evil 4,2023,"Capcom Development Division 1, Capcom","Windows PC, Mac, PlayStation 5, Xbox Series X|S, PlayStation 4, iOS",4.5,average: 30h | to finish: 17h | to master: 70h,14K,18K,"Adventure, Puzzle, Shooter","Resident Evil 4 is a remake of the 2005 original Resident Evil 4 reimagined for 2023 to bring state-of-the-art survival horror. Resident Evil 4 preserves the essence of the original game, while introducing modernized gameplay, a reimagined storyline, and vividly detailed graphics to make this the latest survival horror game where life and death, terror and catharsis intersect."
35,Batman: Arkham Asylum,2009,"Rocksteady Studios, Eidos Interactive","Windows PC, Mac, Nintendo Switch, Ouya, PlayStation 3, Xbox 360",3.9,average: 15h | to finish: 13h | to master: 28h,5.7K,8.9K,"Adventure, Brawler","Batman: Arkham Asylum is an action-adventure game developed by Rocksteady Studios and published by Warner Bros. Interactive Entertainment. Released in 2009, it follows Batman as he battles the Joker, who seizes control of Arkham Asylum and frees its inmates. The game features stealth, combat, and detective elements, with players using Batman's gadgets and skills to subdue enemies and solve puzzles. Set in a dark, immersive version of Gotham, the story explores Batman’s psychological battle with his foes, including Harley Quinn, Bane, and Scarecrow. The game received critical acclaim for its gameplay, atmosphere, and storytelling, becoming a defining title in superhero video games."
