Posicao,Nome,Lançamento,Desenvolvedora/Publisher,Plataformas,Nota Média,Tempo de Jogo,Qtd Reviews,Qtd Likes,Tags,Descricao
97,Apex Legends,2019,"Respawn Entertainment, Electronic Arts","Windows PC, Nintendo Switch 2, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One",3.0,average: 222h | to finish: 42h | to master: 247h,3.7K,1.9K,"Shooter, Tactical","Conquer with character in Apex Legends, a free-to-play Hero shooter where legendary characters with powerful abilities team up to battle for fame & fortune on the fringes of the Frontier. Master an ever-growing roster of diverse Legends, deep tactical squad play and bold new innovations that go beyond the Battle Royale experience—all within a rugged world where anything goes. Welcome to the next evolution of Hero Shooter."
98,Super Mario World,1990,"Nintendo Entertainment Analysis & Development, Nintendo","New Nintendo 3DS, Wii U, Wii, Super Famicom, Super Nintendo Entertainment System, Arcade",4.3,average: 7h | to finish: 5h | to master: 10h,4.5K,6.1K,"Adventure, Platform","A 2D platformer and first entry on the SNES in the Super Mario franchise, Super Mario World follows Mario as he attempts to defeat Bowser's underlings and rescue Princess Peach from his clutches. The game features a save system, a less linear world map, an expanded movement arsenal and numerous new items for Mario, alongside new approaches to level design and art direction."
99,Super Mario Bros.,1985,"Nintendo R&D4, Nintendo","Nintendo 3DS, Wii U, Wii, Family Computer, Family Computer Disk System, NES, Arcade",3.5,average: 3h | to finish: 2h | to master: 6h,4.3K,3.3K,"Adventure, Platform","A side scrolling 2D platformer and first entry in the Super Mario franchise, Super Mario Bros. follows Italian plumber Mario as he treks across many levels of platforming challenges featuring hostile enemies to rescue Princess Peach from the evil king Bowser."
100,Chrome Dino,2014,Google,Web browser,3.5,average: 73393h | to finish: -h | to master: -h,4K,2.3K,Arcade,Chrome Dino is a game easter egg in Google's Chrome web browser. It can be played by touching over the dinosaur or pressing the space bar when your internet connection goes down or by accessing chrome://dino/ on the web browser. The game is an endless runner. The objective is to jump over cacti an avoid pterodactyls flying in your direction.
101,Devil May Cry 5,2019,"Capcom Development Division 1, Capcom","Windows PC, Nintendo Switch 2, PlayStation 4, Xbox One",4.2,average: 22h | to finish: 12h | to master: 132h,5.6K,6.5K,"Adventure, Brawler","Devil May Cry 5 is a brand-new entry in the legendary over-the-top action series Devil May Cry. The game features three playable characters, each with a radically different stylish combat play style as they take on the city overrun with demons. Developed with Capcom’s in-house proprietary RE engine, the series continues to achieve new heights in fidelity with graphics that utilize photorealistic character designs and stunning lighting and environmental effects."
102,Dying Light,2015,"Techland, WB Games","Windows PC, Mac, Linux, PlayStation 5, Xbox Series X|S, PlayStation 4, Xbox One",3.8,average: 38h | to finish: 23h | to master: 97h,4.2K,5K,"Adventure, RPG, Shooter","Dying Light is a first-person, action survival horror game set in a vast and dangerous open world. During the day, players traverse an expansive urban environment overrun by a vicious outbreak, scavenging the world for supplies and crafting weapons to defend against the growing infected population. At night, the hunter becomes the hunted, as the infected become aggressive and more dangerous. Most frightening are the predators which only appear after sundown. Players must use everything in their power to survive until the morning’s first light."
103,Half-Life,1998,"Valve, Sierra Entertainment","Windows PC, Mac, Linux",4.1,average: 12h | to finish: 11h | to master: 15h,5.2K,6.3K,"Adventure, Puzzle, Shooter","Half-Life is a 1998 first-person shooter (FPS) game developed by Valve Corporation and published by Sierra Studios for Windows. It was Valve's debut product and the first game in the Half-Life series. The player assumes the role of Gordon Freeman, a theoretical physicist who must escape from the Black Mesa Research Facility after it is overrun by aliens following a disastrous scientific experiment. Its gameplay consists of diverse combat, exploration and puzzles."
104,Limbo,2010,"Playdead, Microsoft Game Studios","Windows PC, Mac, Linux, Nintendo Switch, PlayStation 4, PlayStation Vita, Xbox One, PlayStation 3, Xbox 360, Android, iOS",3.5,average: 4h | to finish: 3h | to master: 4h,2.9K,3.4K,"Adventure, Indie, Platform, Puzzle",Limbo is a black and white puzzle-platforming adventure. Players take the role of a young boy traveling through an eerie and treacherous world in an attempt to discover the fate of his sister.
105,Assassin's Creed III,2012,"Ubisoft Montreal, Ubisoft Entertainment","Windows PC, Wii U, PlayStation 3, Xbox 360",3.3,average: 31h | to finish: 24h | to master: 65h,2.2K,3K,Adventure,"Assassin's Creed III is an open-world action-adventure game set primarily in 18th-century Colonial America during the American Revolution. Players control two characters across the story: Haytham Kenway, a British Templar operating during the French and Indian War, and his half-Mohawk son Ratonhnhaké:ton (also known as Connor), who becomes an Assassin. Gameplay takes place across Boston, New York City, and a large wilderness frontier, with free-running, stealth, and combat using weapons including tomahawks, muskets, bows, and the series' signature Hidden Blades. The game introduces naval combat through Connor's captaining of a warship, as well as hunting, a homestead economy system, and seasonal weather that affects gameplay. A modern-day framing narrative follows Desmond Miles using the Animus to relive his ancestors' memories."
106,Mario Kart DS,2005,"Nintendo EAD Software Development Group No.1, Nintendo","Wii U, Nintendo DS",3.8,average: 31h | to finish: 17h | to master: -h,2.7K,3.8K,"Arcade, Racing","Mario Kart DS is the continuation of the long running racing game series that began on the Super Nintendo. It features 16 new tracks as well as 16 tracks from the previous 4 games, with each set split up into the Nitro and Retro Grand Prix respectively. Eight racers are initially available, each with two go-karts to choose from. A number of characters and additional karts are also available to unlock. New items have been added to the arsenal, including a Blooper squid that squirts ink onto the screens of other players and a Bullet Bill power up that transforms the player into a giant, fast-travelling bullet on autopilot."
107,Stray,2022,"BlueTwelve Studio, Annapurna Interactive","Windows PC, Mac, Nintendo Switch 2, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One",3.7,average: 7h | to finish: 6h | to master: 12h,6.3K,5.9K,"Adventure, Indie, Platform","Stray is a third-person cat adventure game set amidst the detailed neon-lit alleys of a decaying cybercity and the murky environments of its seedy underbelly. Roam surroundings high and low, defend against unforeseen threats and solve the mysteries of this unwelcoming place inhabited by nothing but unassuming droids and dangerous creatures. See the world through the eyes of a stray and interact with the environment in playful ways. Be stealthy, nimble, silly, and sometimes as annoying as possible with the strange inhabitants of this foreign world."
108,Doki Doki Literature Club!,2017,"Team Salvato, Serenity Forge","Windows PC, Mac, Linux, Android, iOS",3.5,average: 6h | to finish: 4h | to master: 8h,5.1K,4.3K,"Adventure, Indie, Visual Novel",The Literature Club is full of cute girls! Will you write the way into their heart? This game is not suitable for children or those who are easily disturbed.
109,Counter-Strike: Global Offensive,2012,Valve,"Windows PC, Mac, Linux, PlayStation 3, Xbox 360",3.5,average: 497h | to finish: 1165h | to master: -h,3.2K,2.6K,"Shooter, Tactical","Counter-Strike: Global Offensive is a team-based multiplayer first-person shooter developed by Valve and Hidden Path Entertainment. Two teams, Terrorists and Counter-Terrorists, compete in objective-based rounds across various game modes including bomb defusal, hostage rescue, and deathmatch. The game features an economy system where players purchase weapons and equipment at the start of each round based on performance in previous rounds. Competitive matchmaking, community servers, and a robust skin trading ecosystem support a large active player base."
110,Grand Theft Auto: Vice City,2002,"Rockstar North, Rockstar Games","Windows PC, Mac, PlayStation 3, PlayStation 2, Xbox",3.9,average: 24h | to finish: 17h | to master: 34h,2.4K,4.5K,"Adventure, Arcade, Racing, Shooter","In the year 1986, Tommy Vercetti is heavily indebted to his mafia superiors after a drug deal gone awry, but his dreams of taking over Vice City (based on Miami) push him down a different path. Featuring a wide variety of vehicles and weapons, radio stations playing hit songs from the era and an intense atmosphere, GTA: Vice City is an open-world sandbox satire of '80's Miami."
111,Metal Gear Rising: Revengeance,2013,"PlatinumGames, Konami","Windows PC, Mac, PlayStation 3, Xbox 360",4.1,average: 13h | to finish: 8h | to master: -h,6.4K,6.5K,"Adventure, Brawler, Shooter, Strategy","Developed by Kojima Productions and PlatinumGames, Metal Gear Rising: Revengeance takes the renowned Metal Gear franchise into exciting new territory with an all-new action experience. The game seamlessly melds pure action and epic story-telling that surrounds Raiden – a child soldier transformed into a half-human, half-cyborg ninja who uses his High Frequency katana blade to cut through any thing that stands in his vengeful path! A huge success on both Xbox 360 and PlayStation3, Metal Gear Rising: Revengeance comes to PC with all the famed moves and action running within a beautifully-realized HD environment. This new PC version includes all three DLC missions: Blade Wolf, Jetstream, and VR Missions, in addition to all customized body upgrades for Raiden, including: White Armor, Inferno Armor, Commando Armor, Raiden’s MGS4 body, and the ever-popular Cyborg Ninja. ""CUTSCENES"" option added to the Main Menu. Play any and all cutscenes. ""CODECS"" option added to the Main Menu. Play all and any codec conversation scenes. Menu option added to the CHAPTER Menu enabling user to play only the Boss battles. ""GRAPHIC OPTIONS"" added to the OPTIONS Menu. Modify resolution, anti-aliasing, etc. There is an option reading ""ZANGEKI"" that will modify the amount of cuts you can make."
112,Vampire Survivors,2022,Poncle,"Windows PC, Mac, Linux, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One, Android, iOS",3.7,average: 34h | to finish: 31h | to master: 77h,4.6K,4.3K,"Adventure, Arcade, Indie, RPG","Mow thousands of night creatures and survive until dawn! Vampire Survivors is a gothic horror casual game with rogue-lite elements, where your choices can allow you to quickly snowball against the hundreds of monsters that get thrown at you."
113,Watch Dogs,2014,"Ubisoft Montreal, Ubisoft Entertainment","Windows PC, PlayStation 4, Wii U, Xbox One, PlayStation 3, Xbox 360, Google Stadia",3.2,average: 30h | to finish: 29h | to master: 61h,3.2K,3.2K,"Adventure, Shooter","Set in Chicago, where a central network of computers connects everyone and everything, Watch Dogs explores the impact of technology within our society. Using the city as your weapon, you will embark on a personal mission to inflict your own brand of justice. Chicago's overarching network is known as the Central Operating System (ctOS), and it controls almost all of the city's technology and information - including key data on all of the city's residents."
114,The Walking Dead,2012,"Telltale Games, Sony Computer Entertainment","Windows PC, Mac, Linux, Nintendo Switch, PlayStation 4, PlayStation Vita, Xbox One, PlayStation 3, Xbox 360, Android, iOS",4.2,average: 14h | to finish: 13h | to master: 14h,3.6K,7.2K,"Adventure, Point-and-Click, Puzzle","The Walking Dead: Season One (also known as The Walking Dead: The Game) is an episodic interactive drama graphic adventure video game developed and published by Telltale Games. Based on Robert Kirkman's The Walking Dead comic book series, the game consists of five episodes, released between April and November 2012. It is available for Android, iOS, Kindle Fire HDX, Microsoft Windows, Mac OS X, PlayStation 3, PlayStation Vita, Xbox 360, PlayStation 4 and Xbox One. The game is the first of The Walking Dead video game series published by Telltale."
115,Yakuza 0,2015,"Sega Games, Sega","Windows PC, PlayStation 4, Xbox One, PlayStation 3",4.4,average: 61h | to finish: 54h | to master: 153h,6.8K,8K,"Adventure, Brawler, RPG, Simulator","Yakuza 0 is an action-adventure beat 'em up and a prequel to the Yakuza series, set in 1988 Japan during the country's economic bubble era. The game follows two protagonists: Kazuma Kiryu in Tokyo's Kamurocho district and Goro Majima in Osaka's Sotenbori district. Players alternate between their stories as they navigate the criminal underworld, engaging in street fights using multiple switchable combat styles, managing businesses, and participating in a wide variety of side activities and minigames. The game is largely credited with bringing the long-running franchise to mainstream Western attention."
116,Call of Duty 4: Modern Warfare,2007,"Infinity Ward, Activision","Windows PC, Mac, PlayStation 3, Xbox 360",3.9,average: 20h | to finish: 5h | to master: -h,2K,3.7K,"Shooter, Simulator","Call of Duty 4: Modern Warfare differs from previous installments of the Call of Duty series. Previous Call of Duty games have a distinct three country-specific campaign style, while Call of Duty 4 has a more film-like plot with interlaced story lines from the perspectives of Sgt. Paul Jackson of the Marines 1st Force Recon and Sgt. 'Soap' MacTavish of the British 22nd SAS Regiment."
117,Valorant,2020,Riot Games,"Windows PC, PlayStation 5, Xbox Series X|S",2.4,average: 360h | to finish: -h | to master: -h,5K,1.7K,"Shooter, Tactical","Valorant is a character-based 5v5 tactical shooter set on the global stage. Outwit, outplay, and outshine your competition with tactical abilities, precise gunplay, and adaptive teamwork."
118,Metal Gear Solid V: The Phantom Pain,2015,"Kojima Productions, Konami","Windows PC, PlayStation 4, Xbox One, PlayStation 3, Xbox 360",4.0,average: 79h | to finish: 64h | to master: 211h,4.5K,5.5K,"Adventure, Shooter, Tactical","Metal Gear Solid V: The Phantom Pain is the sequel to Metal Gear Solid V: Ground Zeroes and a prequel to the original Metal Gear. The game has a complex story with long cut-scene sequences, but there are fewer and they are shorter compared to earlier Metal Gear Solid titles. Most of the gameplay mechanics introduced in Ground Zeroes are carried over: it is still an action game and stealth oriented but replaces the linear corridor design from most earlier titles with large open world environments that offer the player unrestricted freedom for the approach. The world has now a real-time day and night cycle and various weather effects that influence enemy behaviour, visibility and sound. Sabotaging or destroying certain structures can also influence other parts of the map."
119,Final Fantasy VII Remake,2020,"Square Enix Creative Business Unit I, Square Enix","Windows PC, Nintendo Switch 2, PlayStation 5, Xbox Series X|S, PlayStation 4",4.1,average: 42h | to finish: 35h | to master: 84h,5.1K,6.1K,"Adventure, RPG","A modern reimagining of one of the most iconic games of all time, Final Fantasy VII Remake harnesses the very latest technology to recreate and expand Square Enix's legendary RPG adventure for the current generation. Set in a post-industrial fantasy world that has fallen under the control of the shadowy Shinra Electric Power Company, take on the role of Cloud Strife - a mercenary and former member of Shinra's elite Soldier unit - and team up with anti-Shinra organization Avalanche as they step-up their resistance."
120,"Papers, Please",2013,"Lucas Pope, 3909","Windows PC, Mac, Linux, PlayStation Vita, Android, iOS",3.9,average: 8h | to finish: 6h | to master: 14h,3.4K,4.8K,"Indie, Point-and-Click, Puzzle, Simulator","The communist state of Arstotzka has just ended a 6-year war with neighboring Kolechia and reclaimed its rightful half of the border town, Grestin. Your job as immigration inspector is to control the flow of people entering the Arstotzkan side of Grestin from Kolechia. Among the throngs of immigrants and visitors looking for work are hidden smugglers, spies, and terrorists. Using only the documents provided by travelers and the Ministry of Admission's primitive inspect, search, and fingerprint systems you must decide who can enter Arstotzka and who will be turned away or arrested."
121,Pokémon Platinum Version,2008,"Game Freak, Nintendo",Nintendo DS,4.2,average: 71h | to finish: 35h | to master: -h,3.3K,5K,"Adventure, RPG, Turn Based Strategy","Pokemon Platinum is a role-playing game with adventure elements and an enhanced version of Pokemon Diamond and Pearl. Played from a top-down perspective, it has the player explore the Sinnoh region across towns, routes, and caves, catching and training Pokemon and battling them in turn-based combat. The core goals involve building a team, challenging Gym Leaders, and completing the Pokedex. This version adds new areas, expanded online features for trading and battling, and gives the Legendary Pokemon Giratina and its Distortion World a central role. It connects with other games in the generation to trade and transfer Pokemon."
122,Dead Cells,2018,"Motion Twin, Playdigious","Windows PC, Mac, Linux, PlayStation 5, Nintendo Switch, PlayStation 4, Xbox One, Android, iOS",3.8,average: 32h | to finish: 27h | to master: 73h,3.6K,4K,"Adventure, Indie, Platform","Dead Cells is a 2D side-scrolling action platformer combining roguelike and Metroidvania design. Players control the Prisoner, an immortal creature that possesses corpses and fights through procedurally generated levels filled with mutated enemies. Combat centers on melee weapons, bows, traps, and dodging, with enemy patterns that reward careful observation. Death is permanent for each run, stripping the player of most collected items, though an in-game currency called Cells allows for purchasing upgrades that persist between attempts. Levels are assembled from pre-designed sections in randomized configurations, and progression through the game unlocks new traversal abilities via collectible Runes."
124,Control,2019,"Remedy Entertainment, 505 Games","Windows PC, PlayStation 5, Xbox Series X|S, PlayStation 4, Xbox One, Google Stadia",3.7,average: 19h | to finish: 17h | to master: 31h,4.4K,4.8K,"Adventure, Shooter","Control is a third-person action-adventure game set in the Federal Bureau of Control, a secretive U.S. government agency that studies paranormal phenomena. Players control Jesse Faden, who arrives at the Bureau's headquarters, the Oldest House, to find it invaded by a hostile force called the Hiss. Gameplay combines supernatural abilities with a shape-shifting firearm, and the environment is reactive and destructible."
125,Hogwarts Legacy,2023,"Avalanche Software, Warner Bros. Games","Windows PC, Nintendo Switch 2, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One",3.3,average: 45h | to finish: 45h | to master: 69h,5.5K,3.9K,"Adventure, RPG","Hogwarts Legacy is an immersive, open-world action RPG set in the world first introduced in the Harry Potter books. Now you can take control of the action and be at the center of your own adventure in the wizarding world. Embark on a journey through familiar and new locations as you explore and discover fantastic beasts, customize your character and craft potions, master spell casting, upgrade talents, and become the wizard you want to be. Discover the feeling of living at Hogwarts as you make allies, battle Dark wizards, and ultimately decide the fate of the wizarding world. Your legacy is what you make of it."
126,A Way Out,2018,"Hazelight Studios, Electronic Arts","Windows PC, PlayStation 4, Xbox One",3.7,average: 6h | to finish: 6h | to master: 8h,4.7K,4.7K,Adventure,"A Way Out is a cooperative action-adventure game designed exclusively for two-player split-screen play, either locally or online. Each player controls one of two protagonists, Leo and Vincent, who form a reluctant partnership to break out of prison. Gameplay involves stealth, combat, driving, and environmental puzzle-solving, with both characters taking different cooperative roles in each situation. The game features a branching narrative that unfolds simultaneously for both players through its split-screen presentation."
127,Resident Evil 5,2009,Capcom,"Windows PC, PlayStation 3, Xbox 360",3.3,average: 15h | to finish: 11h | to master: 53h,5.2K,3.8K,"Adventure, Shooter","Resident Evil 5 is the seventh video game in the Resident Evil series. It features similar gameplay to Resident Evil 4 utilizing the same over the shoulder view, but this time the environment plays a significant role. The player is now dependent on his partner more than in older games. When the partner's health bar drop down to 0, he will enter the dying stage where the health bar will flash red and gradually lower as he stays like this. Resident Evil 5 also features new types of enemies called Majini and mostly are of African descent."
128,Marvel Rivals,2024,"NetEase Games, Marvel Games","Windows PC, Nintendo Switch 2, PlayStation 5, Xbox Series X|S, PlayStation 4",3.2,average: 100h | to finish: 28h | to master: 136h,6.5K,5.1K,Shooter,"Marvel Rivals is a super hero team-based PvP shooter developed by NetEase Games! Assemble an all-star Marvel squad, devise countless strategies by combining powers to form unique Team-Up skills and fight in destructible, ever-changing battlefields across the continually evolving Marvel universe!"
129,Mirror's Edge,2008,"EA Digital Illusions CE, Electronic Arts","Windows PC, PlayStation 3, Xbox 360",3.6,average: 6h | to finish: 5h | to master: -h,3K,3.8K,"Adventure, Platform, Puzzle","Mirror's Edge is a first-person action-adventure game focused on parkour and free-running. Set in a heavily surveilled city, players control Faith, a courier who traverses rooftops using wall-runs, jumps, and slides to deliver sensitive information. The gameplay emphasizes momentum and fluid movement over combat, with a focus on finding the fastest path through urban environments."
130,Hollow Knight: Silksong,2025,Team Cherry,"Windows PC, Mac, Linux, Nintendo Switch 2, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One",4.5,average: 59h | to finish: 48h | to master: 69h,11K,16K,"Adventure, Indie, Platform","Hollow Knight: Silksong is the epic sequel to Hollow Knight, the epic action-adventure of bugs and heroes. As the lethal hunter Hornet, journey to all-new lands, discover new powers, battle vast hordes of bugs and beasts and uncover ancient secrets tied to your nature and your past."
131,Pokémon Go,2016,"The Pokémon Company, Niantic Labs","Android, iOS",2.9,average: 128h | to finish: -h | to master: -h,2.5K,1.6K,"RPG, Simulator","Pokémon Go is an augmented reality mobile game that uses GPS to let players locate, capture, train, and battle Pokémon in real-world locations. Players explore their physical surroundings to find PokéStops for items, battle at Gyms for team control, participate in Raid Battles cooperatively, and compete in the Go Battle League's player-versus-player format. The game is free-to-play with in-app purchases and features Pokémon from across multiple generations of the franchise."
132,God of War,2005,"SCE Santa Monica Studio, Capcom",PlayStation 2,3.9,average: 10h | to finish: 10h | to master: 31h,3.7K,4.7K,"Adventure, Brawler, Puzzle","God of War is an action-adventure hack-and-slash video game developed by Santa Monica Studio and published by Sony Computer Entertainment (SCE). Initially launched for the PlayStation 2, the game stands as the first instalment in the God of War series and the third in chronological order. Loosely inspired by Greek mythology, it unfolds in ancient Greece with vengeance as its central theme. The player takes on the role of Kratos, the protagonist, a Spartan warrior devoted to the Olympian gods. Tasked by the goddess Athena, Kratos is assigned to eliminate Ares, the God of War and Kratos' former mentor. Ares had deceitfully manipulated Kratos into killing his wife and daughter. As Ares attacks Athens fueled by hatred for Athena, Kratos embarks on a quest to locate Pandora's Box, the sole object capable of permanently stopping the vengeful god."
133,The Last of Us Part I,2022,"Naughty Dog, Sony Interactive Entertainment","Windows PC, PlayStation 5",4.5,average: 19h | to finish: 17h | to master: 26h,6.5K,11K,"Adventure, Shooter","Experience the emotional storytelling and unforgettable characters of Joel and Ellie in The Last of Us, winner of over 200 Game of the Year awards and now rebuilt for PlayStation 5. Enjoy a total overhaul of the original experience, faithfully reproduced but incorporating modernized gameplay, improved controls and expanded accessibility options. Plus, feel immersed with improved effects and enhanced exploration and combat. It also includes the Left Behind story DLC."
134,Subnautica,2018,"Unknown Worlds, Gearbox Publishing","Windows PC, Mac, Nintendo Switch 2, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One, Android, iOS, Oculus Rift, SteamVR",4.0,average: 36h | to finish: 27h | to master: 34h,4.2K,5.5K,"Adventure, Indie","Descend into the depths of an alien underwater world filled with wonder and peril. Craft equipment, pilot submarines and out-smart wildlife to explore lush coral reefs, volcanoes, cave systems, and more, all while trying to survive."
135,Assassin's Creed Brotherhood,2010,"Ubisoft Montreal, Ubisoft Entertainment","Windows PC, Mac, PlayStation 3, Xbox 360",3.9,average: 25h | to finish: 19h | to master: 32h,2.1K,3.9K,"Adventure, Puzzle","Assassin's Creed Brotherhood is an action-adventure game set in Rome, where Master Assassin Ezio Auditore takes on the Templar Order. Players recruit and command a Brotherhood of Assassins to dismantle the corrupt powers entrenched in the city. The game combines stealth, combat, and leadership as Ezio rallies allies to fight alongside him. The game also introduces a multiplayer mode to the series, where players choose from a roster of unique characters with distinct weapons and assassination techniques, competing against each other online."
136,Five Nights at Freddy's,2014,Scottgames,Windows PC,3.2,average: 4h | to finish: 1h | to master: -h,4.3K,3.4K,"Indie, Point-and-Click, Simulator, Strategy","Welcome to your new summer job at Freddy Fazbear's Pizza, where kids and parents alike come for entertainment and food as far as the eye can see! The main attraction is Freddy Fazbear, of course; and his two friends. They are animatronic robots, programmed to please the crowds! The robots' behavior has become somewhat unpredictable at night however, and it was much cheaper to hire you as a security guard than to find a repairman. From your small office you must watch the security cameras carefully. You have a very limited amount of electricity that you're allowed to use per night (corporate budget cuts, you know). That means when you run out of power for the night- no more security doors and no more lights! If something isn't right- namely if Freddybear or his friends aren't in their proper places, you must find them on the monitors and protect yourself if needed! Can you survive five nights at Freddy's?"
137,Death Stranding,2019,"Kojima Productions, 505 Games","Windows PC, PlayStation 4",4.0,average: 49h | to finish: 57h | to master: 129h,4.8K,6.9K,"Adventure, RPG, Shooter","Death Stranding is an action game set in a post-apocalyptic United States. Players control Sam Porter Bridges, a courier tasked with reconnecting isolated cities via a communication network while delivering essential cargo. The gameplay blends traversal, resource management, and narrative elements, with a focus on social connectivity through asynchronous multiplayer. It is known for its unique mechanics, atmospheric world, and philosophical themes."
138,Uncharted 2: Among Thieves,2009,"Naughty Dog, Sony Computer Entertainment",PlayStation 3,4.1,average: 14h | to finish: 10h | to master: 33h,2.4K,5.1K,"Adventure, Platform, Shooter","In the sequel to Drake's Fortune, Nathan Drake comes across a map that showcases the location of Marco Polo's missing ships. It takes him on a journey to find the infamous Cintamani Stone, and uncover the truth behind it."
139,Garry's Mod,2004,"Facepunch Studios, Valve","Windows PC, Mac, Linux",3.9,average: 170h | to finish: 2205h | to master: -h,3.4K,3.7K,"Indie, Simulator","Garry's Mod is a physics-based sandbox game built on Valve's Source engine. In its base mode, there are no objectives. Players can spawn non-player characters, ragdolls, and props, then manipulate them using a physics gun that can pick up, rotate, and freeze objects in place. A tool gun provides additional functionality such as welding objects together or adjusting facial expressions on ragdolls. The game supports extensive Lua-based modding, and community-created game modes like Trouble in Terrorist Town and Prop Hunt have become widely popular in their own right. Originally released as a free mod for Half-Life 2 in 2004, it became a standalone commercial release in 2006 and holds the record as the best-selling PC-exclusive game."
140,Fallout 3,2008,"Bethesda Game Studios, Bethesda Softworks","Windows PC, PlayStation 3, Xbox 360",3.6,average: 43h | to finish: 42h | to master: -h,2.9K,3.5K,"RPG, Shooter","Fallout 3 from the creators of the award-winning Oblivion, featuring one of the most realized game worlds ever created. Create any kind of character you want and explore the open wastes of post-apocalyptic Washington D.C. Every minute is a fight for survival as you encounter Super Mutants, Ghouls, Raiders and other dangers of the Wasteland. Prepare for the future. The third game in the Fallout series, Fallout 3 is a singleplayer action role-playing game (RPG) set in a post-apocalyptic Washington DC. Combining the horrific insanity of the Cold War era theory of mutually assured destruction gone terribly wrong, with the kitschy naivety of American 1950s nuclear propaganda, Fallout 3 will satisfy both players familiar with the popular first two games in its series as well as those coming to the franchise for the first time."
141,Outer Wilds,2019,"Mobius Digital, Annapurna Interactive","Windows PC, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One",4.6,average: 22h | to finish: 21h | to master: 35h,8.3K,11K,"Adventure, Indie, Puzzle, Simulator","Outer Wilds is a critically-acclaimed and award-winning open world mystery about a solar system trapped in an endless time loop. The newest member of the space program in a small village on the planet Timber Hearth, the player navigates a space shuttle and travels across their solar system to get to the bottom of its mysteries by exploring the cosmos and gathering the knowledge hidden within each of the system's planets, left behind by another civilization in the distant past."
142,Far Cry 4,2014,"Ubisoft Montreal, Ubisoft Entertainment","Windows PC, PlayStation 5, Xbox Series X|S, PlayStation 4, Xbox One, PlayStation 3, Xbox 360, Google Stadia",3.5,average: 34h | to finish: 26h | to master: 52h,2.6K,3K,"Adventure, Shooter, Tactical","Discover the most diverse Far Cry world ever created. With terrain spanning from lush forests to the snowcapped Himalayas, the entire world is alive… and deadly. From leopards, rhinos, black eagles, and vicious honey badgers, Kyrat is home to abundant wildlife. As you embark on your hunt for resources, know that something may be hunting you... Scout enemy territory from above in the all-new gyrocopter and then plummet back to earth in your wing suit. Climb aboard the back of a six-ton elephant and unleash its raw power on your enemies. Choose the right weapon for the job, no matter how insane or unpredictable that job might be. With a diverse arsenal, you’ll be prepared for anything."
143,Dark Souls II: Scholar of the First Sin,2015,"FromSoftware, Bandai Namco Entertainment","Windows PC, PlayStation 4, Xbox One, PlayStation 3, Xbox 360",3.6,average: 70h | to finish: 46h | to master: 81h,5.7K,4.9K,"Adventure, RPG","Dark Souls II: Scholar of the First Sin is an enhanced edition of Dark Souls II, released in April 2015 by FromSoftware and Bandai Namco Entertainment. This version includes updated graphics, improved performance, and all previously released DLC expansions (Crown of the Sunken King, Crown of the Old Iron King, and Crown of the Ivory King). It also features rebalanced gameplay, new enemy placements, additional NPCs, and expanded lore,"
144,Call of Duty: Modern Warfare 3,2011,"Infinity Ward, Activision","Windows PC, Mac, PlayStation 3, Xbox 360",3.6,average: 38h | to finish: 5h | to master: -h,2K,2.9K,"Adventure, Shooter, Tactical","Call of Duty: Modern Warfare 3 is a first-person shooter video game, developed by Infinity Ward and Sledgehammer Games (Treyarch for the Wii version), with Raven Software having assisted in development and published by Activision."
145,Lethal Company,2023,Zeekerss,Windows PC,3.6,average: 25h | to finish: 8h | to master: -h,4.9K,3.3K,Indie,A co-op horror roguelite about an abandoned industrial moon.
146,Rise of the Tomb Raider,2015,"Crystal Dynamics, Microsoft Studios","Windows PC, Mac, Linux, PlayStation 4, PlayStation VR, Xbox One, Xbox 360, Google Stadia",3.7,average: 20h | to finish: 17h | to master: 37h,2.7K,3.8K,"Adventure, Shooter","Rise of the Tomb Raider is a third-person action-adventure game in which players control Lara Croft as she searches for the legendary city of Kitezh and a promise of immortality. Combat involves firearms, stealth, and melee weapons, while semi-open hub areas offer challenge tombs with puzzles, side missions, and resource scavenging for crafting. Players earn experience and unlock skills across three trees focused on combat, hunting, and survival. The game features an Expeditions mode that allows replaying levels with modifiers in place of traditional multiplayer."
